grid_label,dbscan_output
UIBCCDB,N
UIBCCCC,N
UIADDDB,N
UIADDBD,N
UIBCCAC,N
UIBCCCB,N
UIBCCDA,N
UIBCCBD,N
UIBCCBC,N
UIBCCBB,N
UIBCCDD,N
UIBCCDC,N
UIBCCCD,N
UIDAAAB,N
UIDAAAA,N
UIDAAAD,N
UIDACCB,N
UIDACCD,N
UIDCAAB,N
UIDCAAA,N
UIDCABA,N
UIDCABC,N
UIDCABD,N
UIDCBAC,N
UIDCBAD,N
UIDCBBC,N
UIDCBDA,N
UIDCBDB,N
UIDDACA,N
UIDDACB,N
UIDDADA,N
UIDDADB,N
UIDDBCA,N
UIDDBCC,N
UIDDDAA,N
UIDDDAC,N
UIDDDAD,N
UIDDDCB,N
UIDDDCD,N
UIDDDDC,N
TIBBBBA,N
TIBBBBB,N
TIBBBBD,N
TIBBBDB,N
TIBBBDD,N
TIBBDBB,N
TIBBDBD,N
TIBBDBC,N
TIBBDDA,N
TIBBDCB,N
TIBBDCD,N
TIBBDDC,N
TIBDBBA,N
TIBDBAD,N
TIBDBCB,N
TIBDBCD,N
TIBDDAB,N
TIBDDAD,N
TIBDDCB,N
TIBDDCD,N
TIBDDDC,N
TIDBBBA,N
TIDBBBC,N
TJCCAAD,AN
TJCCDCC,AN
SKDABBA,AN
SKDABBB,AN
SKDBAAA,AN
SKDBAAB,AN
SKDBBAB,AN
RNDCCCB,AN
RNDCCAD,AN
RNCDBBC,AN
RLBADCD,AN
RLBADCB,AN
RLBADCA,AN
RLBACDB,AN
UIDAABB,N
UICDBDB,N
UICDBDD,N
UIDCCAA,N
TIBABAA,N
TIBAABB,N
TIBAABC,N
TIBAABA,N
TIBAAAD,N
UIDCCDC,N
UIDCCCB,N
UIDCCAD,N
UIDCCAB,N
UIDCACC,N
UIDCACA,N
UIDCAAC,N
UIBCCAD,N
UIBCCAB,N
UIBCACD,N
UIBCADC,N
UIBCACC,N
UIADBDD,N
UIADDBA,N
UIADDAB,N
UIADDAA,N
UIADDAC,N
UIADCBD,N
UIADCBC,N
UIADCDA,N
UIADCCB,N
UIADCCD,N
UIADCCC,N
UICABBB,N
UICABBA,N
UICABBC,N
UICABAD,N
UICABAC,N
UICABCA,N
UICAADB,N
UICAADD,N
UICAADC,N
UICACBA,N
UICACBC,N
UICACDA,N
UICACDC,N
UICCABA,N
UICCAAB,N
UICCAAD,N
UICCAAC,N
UICCAAA,N
UHDDBBD,N
UICBABD,N
UICBABC,N
UICBADA,N
UICBACB,N
UICBACA,N
UICABDB,N
UIBCDAC,N
UIBCBAB,N
UIBCBBA,N
UIBADDC,N
UIBADDD,N
UIBCBAA,N
