,F1,grid_path
0,N,['UIBCCBD']
1,N,['UIBCCDB']
2,N,['UIBCCDB']
3,N,['UIBCCDB']
4,N,['UIBCCDB']
5,AN,"['UIBCCCC', 'UIADDDB', 'UIADDBD', 'UIBCCAC', 'UIBCCCB', 'UIBCCDA', 'UIBCCDB', 'UIBCCBD']"
6,N,['UIBCCBD']
7,N,['UIBCCBD']
8,N,['UIBCCBD']
9,N,['UIBCCBD']
10,N,['UIBCCBD']
11,N,"['UIBCCBD', 'UIBCCBC', 'UIBCCDB']"
12,N,"['UIBCCBD', 'UIBCCBC']"
13,N,"['UIBCCBD', 'UIBCCDB']"
14,N,['UIBCCDB']
15,N,"['UIBCCBD', 'UIBCCDB', 'UIBCCBD']"
16,N,['UIBCCBD']
17,N,['UIBCCBC']
18,N,['UIBCCBC']
19,N,"['UIBCCBC', 'UIBCCDA']"
20,N,['UIBCCBD']
21,N,['UIBCCBD']
22,N,['UIBCCBD']
23,N,"['UIBCCBD', 'UIBCCDB']"
24,N,['UIBCCDB']
25,N,['UIBCCBD']
26,N,['UIBCCBD']
27,N,['UIBCCBD']
28,N,"['UIBCCBB', 'UIBCCBD']"
29,N,['UIBCCBD']
30,N,['UIBCCBD']
31,N,['UIBCCBD']
32,N,['UIBCCBD']
33,N,['UIBCCBD']
34,N,['UIBCCBD']
35,N,['UIBCCBD']
36,N,"['UIBCCBD', 'UIBCCDB']"
37,N,['UIBCCBD']
