Unnamed: 0,F1,grid_path,DBSCAN output
0,N,['UIBCCBD'],N
1,N,['UIBCCDB'],N
2,N,['UIBCCDB'],N
3,N,['UIBCCDB'],N
4,N,['UIBCCDB'],N
5,AN,"['UIBCCCC', 'UIADDDB', 'UIADDBD', 'UIBCCAC', 'UIBCCCB', 'UIBCCDA', 'UIBCCDB', 'UIBCCBD']",N
6,N,['UIBCCBD'],N
7,N,['UIBCCBD'],N
8,N,['UIBCCBD'],N
9,N,['UIBCCBD'],N
10,N,['UIBCCBD'],N
11,N,"['UIBCCBD', 'UIBCCBC', 'UIBCCDB']",N
12,N,"['UIBCCBD', 'UIBCCBC']",N
13,N,"['UIBCCBD', 'UIBCCDB']",N
14,N,['UIBCCDB'],N
15,N,"['UIBCCBD', 'UIBCCDB', 'UIBCCBD']",N
16,N,['UIBCCBD'],N
17,N,['UIBCCBC'],N
18,N,['UIBCCBC'],N
19,N,"['UIBCCBC', 'UIBCCDA']",N
20,N,['UIBCCBD'],N
21,N,['UIBCCBD'],N
22,N,['UIBCCBD'],N
23,N,"['UIBCCBD', 'UIBCCDB']",N
24,N,['UIBCCDB'],N
25,N,['UIBCCBD'],N
26,N,['UIBCCBD'],N
27,N,['UIBCCBD'],N
28,N,"['UIBCCBB', 'UIBCCBD']",N
29,N,['UIBCCBD'],N
30,N,['UIBCCBD'],N
31,N,['UIBCCBD'],N
32,N,['UIBCCBD'],N
33,N,['UIBCCBD'],N
34,N,['UIBCCBD'],N
35,N,['UIBCCBD'],N
36,N,"['UIBCCBD', 'UIBCCDB']",N
37,N,['UIBCCBD'],N
38,AN,"['UIBCCDB', 'UIBCCDD', 'UIBCCDC', 'UIBCCCD', 'UIDAAAB', 'UIDAAAA', 'UIDAAAB', 'UIDAAAD', 'UIDACCB', 'UIDACCD', 'UIDCAAB', 'UIDCAAA', 'UIDCAAB', 'UIDCABA', 'UIDCABC', 'UIDCABD', 'UIDCBAC', 'UIDCBAD', 'UIDCBBC', 'UIDCBDA', 'UIDCBDB', 'UIDDACA', 'UIDDACB', 'UIDDADA', 'UIDDADB', 'UIDDBCA', 'UIDDBCC', 'UIDDDAA', 'UIDDDAC', 'UIDDDAD', 'UIDDDCB', 'UIDDDCD', 'UIDDDDC', 'TIBBBBA', 'TIBBBBB', 'TIBBBBD', 'TIBBBDB', 'TIBBBDD', 'TIBBDBB', 'TIBBDBD', 'TIBBDBC', 'TIBBDDA', 'TIBBDCB', 'TIBBDCD', 'TIBBDDC', 'TIBDBBA', 'TIBDBAD', 'TIBDBCB', 'TIBDBCD', 'TIBDDAB', 'TIBDDAD', 'TIBDDCB', 'TIBDDCD', 'TIBDDDC', 'TIDBBBA', 'TIDBBBC']",N
39,AN,"['TJCCAAD', 'TJCCDCC']",AN
40,AN,"['SKDABBA', 'SKDABBB', 'SKDBAAA', 'SKDBAAB', 'SKDBBAB']",AN
41,AN,"['RNDCCCB', 'RNDCCAD', 'RNCDBBC']",AN
42,AN,"['RLBADCD', 'RLBADCB']",AN
43,AN,"['RLBADCA', 'RLBACDB']",AN
44,N,['UIBCCBD'],N
45,N,['UIBCCBD'],N
46,N,['UIBCCBD'],N
47,N,['UIBCCBD'],N
48,N,['UIBCCBD'],N
49,N,['UIBCCDD'],N
50,AN,"['UIDAABB', 'UIBCCDD', 'UIBCCDC', 'UIBCCCD', 'UIDAAAB', 'UIDAAAA', 'UIDAAAB', 'UIDAAAD', 'UIDACCB', 'UICDBDB', 'UICDBDD', 'UIDCCAA']",N
51,AN,"['TIBABAA', 'TIBAABB']",N
52,AN,"['TIBAABC', 'TIBAABA', 'TIBAAAD']",N
53,AN,"['TIBAABC', 'TIBAABA', 'UIDCCDC', 'UIDCCCB', 'UIDCCAD', 'UIDCCAB', 'UIDCCAA', 'UIDCACC', 'UIDCACA', 'UIDCAAC', 'UIDCAAA', 'UIDCAAB', 'UIDACCD', 'UIDACCB', 'UIDAAAD']",N
54,N,"['UIDAAAA', 'UIDAABB']",N
55,N,"['UIBCCDD', 'UIBCCDB']",N
56,N,['UIBCCBD'],N
