accuracy,id,lat,lng,speed,time,type,state,stepCount,dbscan output,beaconData
312.2,0,37.537137,126.649466,3.54,4789710313447882752,START,WALK,8,1.0,
310.2,0,37.53707,126.649523,3.49,4789710313451978752,NORMAL,WALK,8,1.0,
308.7,0,37.537027,126.649533,3.43,4789710313456074752,NORMAL,WALK,8,1.0,
307.5,0,37.53699,126.649555,3.38,4789710313460170752,NORMAL,WALK,8,1.0,
306.6,0,37.536967,126.649577,3.33,4789710313464266752,NORMAL,WALK,8,1.0,
306.6,0,37.536953,126.6496,3.28,4789710313468362752,NORMAL,STATION,8,1.0,
306.6,0,37.536858,126.649775,3.24,4789710313472458752,NORMAL,WALK,8,1.0,
305.9,0,37.536795,126.64989,3.2,4789710313476554752,NORMAL,WALK,8,1.0,
305.4,0,37.536752,126.64997,3.15,4789710313480650752,NORMAL,WALK,8,1.0,
304.9,0,37.536803,126.649935,3.1,4789710313484746752,NORMAL,WALK,8,1.0,
304.6,0,37.536819,126.649929,3.04,4789710313488842752,NORMAL,WALK,8,1.0,
49.1,0,37.53784,126.648342,0.0,4789710313492938752,STOP,WALK,8,1.0,
49.1,0,37.53784,126.648342,0.0,4789710322575253213,END,,0,1.0,
59.6,0,37.5336,126.653452,0.0,4789710324031946752,START,AUTOMOBILE,20,1.0,
53.0,0,37.535062,126.653194,0.0,4789710324572618752,STOP,AUTOMOBILE,20,1.0,
53.0,0,37.535062,126.653194,0.0,4789710350635995963,END,,0,1.0,
67.2,0,37.53191,126.647907,0.0,4789710358344138752,START,WALK,391,1.0,
34.7,0,37.531877,126.646888,0.91,4789710358856138752,STOP,WALK,172,1.0,
18.8,0,37.531881,126.646855,1.12,4789710358876618752,NORMAL,WALK,4,1.0,
18.8,0,37.531881,126.646855,1.12,4789710362329289867,END,,0,1.0,
85.8,0,37.533812,126.644244,0.0,4789710363816394752,START,WALK,449,1.0,
11.0,0,37.533506,126.644731,0.55,4789710363857354752,STOP,WALK,11,1.0,
14.0,0,37.535392,126.644676,1.24,4789710364725706752,NORMAL,WALK,37,1.0,
13.3,0,37.535393,126.644676,0.86,4789710364729802752,STOP,WALK,37,1.0,
13.3,0,37.535393,126.644676,0.86,4789710436758689607,END,,0,1.0,
8.2,0,37.535059,126.644607,8.03,4789710450188746752,START,AUTOMOBILE,287,1.0,
8.2,0,37.534735,126.644619,8.88,4789710450205130752,NORMAL,AUTOMOBILE,287,1.0,
36.5,0,37.533306,126.644916,0.0,4789710450647498752,STOP,AUTOMOBILE,287,1.0,
36.5,0,37.533306,126.644916,0.0,4789710462609720119,END,,0,1.0,
1005.4,0,37.527572,126.618577,0.0,4789710501134794752,START,AUTOMOBILE,355,1.0,
6.5,0,37.528205,126.612091,13.62,4789710501175754752,NORMAL,AUTOMOBILE,355,1.0,
6.5,0,37.528306,126.612184,13.55,4789710501179850752,NORMAL,AUTOMOBILE,355,1.0,
8.2,0,37.528907,126.612937,13.66,4789710501208522752,NORMAL,AUTOMOBILE,355,1.0,
8.2,0,37.529102,126.613319,13.29,4789710501220810752,NORMAL,AUTOMOBILE,355,1.0,
8.2,0,37.529596,126.614185,13.34,4789710501249482752,NORMAL,AUTOMOBILE,355,1.0,
8.2,0,37.529859,126.614488,13.3,4789710501261770752,NORMAL,AUTOMOBILE,355,1.0,
8.0,0,37.530687,126.615026,13.29,4789710501294538752,NORMAL,AUTOMOBILE,355,1.0,
8.0,0,37.530925,126.615084,13.29,4789710501306826752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.531892,126.615004,13.34,4789710501335498752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.532252,126.614959,13.27,4789710501347786752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.533086,126.614827,13.22,4789710501376458752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.533426,126.614694,13.14,4789710501388746752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.534142,126.614187,13.08,4789710501417418752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.534416,126.613909,13.09,4789710501429706752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.535054,126.613261,13.04,4789710501458378752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.535338,126.612998,13.04,4789710501470666752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.536062,126.612465,14.15,4789710501499338752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.53644,126.612262,15.19,4789710501515722752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.537323,126.611935,14.13,4789710501540298752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.537812,126.611876,13.45,4789710501556682752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.538658,126.611851,10.49,4789710501589450752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.538827,126.611859,9.34,4789710501597642752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.539239,126.612998,13.43,4789710501650890752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.539334,126.614221,13.59,4789710501683658752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.539349,126.614522,13.34,4789710501691850752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.539322,126.614819,13.36,4789710501700042752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.538964,126.615948,13.6,4789710501732810752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.538918,126.616094,13.9,4789710501736906752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.538538,126.617153,14.53,4789710501765578752,NORMAL,AUTOMOBILE,355,1.0,
8.1,0,37.538398,126.617556,12.28,4789710501777866752,NORMAL,AUTOMOBILE,355,1.0,
60.4,0,37.537988,126.61931,0.0,4789710502265290752,STOP,AUTOMOBILE,355,1.0,
6.5,0,37.536015,126.628384,13.05,4789710502801866752,NORMAL,AUTOMOBILE,355,1.0,
8.2,0,37.53599,126.629841,19.12,4789710502834634752,NORMAL,AUTOMOBILE,355,1.0,
8.2,0,37.535998,126.630275,19.48,4789710502842826752,NORMAL,AUTOMOBILE,355,1.0,
8.2,0,37.535995,126.631563,19.01,4789710502867402752,NORMAL,AUTOMOBILE,15,1.0,
10.6,0,37.536003,126.632215,19.1,4789710502883786752,NORMAL,AUTOMOBILE,15,1.0,
79.9,0,37.535703,126.638693,0.0,4789710503023050752,STOP,AUTOMOBILE,19,1.0,
6.5,0,37.536014,126.640468,17.1,4789710503064010752,NORMAL,AUTOMOBILE,19,1.0,
6.5,0,37.536009,126.64066,17.18,4789710503068106752,NORMAL,AUTOMOBILE,19,1.0,
8.2,0,37.536013,126.642043,17.63,4789710503096778752,NORMAL,AUTOMOBILE,19,1.0,
8.2,0,37.536013,126.642624,17.44,4789710503109066752,NORMAL,AUTOMOBILE,8,1.0,
8.2,0,37.536013,126.643886,16.32,4789710503137738752,NORMAL,AUTOMOBILE,8,1.0,
8.2,0,37.536012,126.644257,11.95,4789710503150026752,NORMAL,AUTOMOBILE,8,1.0,
8.1,0,37.536845,126.644633,4.88,4789710503207370752,NORMAL,AUTOMOBILE,2,1.0,
61.4,0,37.539216,126.647389,0.0,4789710503580106752,STOP,AUTOMOBILE,3,1.0,
8.9,0,37.538746,126.646797,2.44,4789710503608778752,NORMAL,AUTOMOBILE,3,1.0,
8.3,0,37.538687,126.646873,3.2,4789710503621066752,NORMAL,AUTOMOBILE,3,1.0,
8.3,0,37.538687,126.646873,3.2,4789710505058471760,END,,0,1.0,
50.6,0,37.538269,126.646503,0.0,4789710996775370752,START,WALK,707,1.0,
10.0,0,37.538138,126.646486,1.18,4789710997979594752,NORMAL,WALK,139,1.0,
10.0,0,37.538138,126.646486,1.18,4789711092302239875,END,,0,1.0,
72.3,0,37.53864,126.648499,0.0,4789711092302282752,START,WALK,18,1.0,
6.5,0,37.538086,126.648599,1.04,4789711092343242752,NORMAL,WALK,10,1.0,
6.5,0,37.538073,126.648606,1.12,4789711092347338752,NORMAL,WALK,10,1.0,
6.5,0,37.538073,126.648606,1.12,4789711120568208621,END,,0,1.0,
56.6,0,37.538397,126.646744,0.0,4789711350686154752,START,WALK,1047,1.0,
26.8,0,37.538389,126.646734,0.7,4789711350714826752,STOP,WALK,10,1.0,
26.8,0,37.538389,126.646734,0.7,4789711351902964506,END,,0,1.0,
52.9,0,37.537867,126.644749,0.0,4789711801422282752,START,WALK,0,1.0,
53.8,0,37.537874,126.64468,0.0,4789711801446858752,STOP,WALK,0,1.0,
53.8,0,37.537874,126.64468,0.0,4789711802278381822,END,,0,1.0,
55.4,0,37.537462,126.647309,0.0,4789712228106698752,START,WALK,0,1.0,
58.8,0,37.537797,126.647207,1.36,4789712228114890752,NORMAL,WALK,0,1.0,
58.8,0,37.537797,126.647207,1.36,4789712464852016087,END,,0,1.0,
52.7,0,37.538031,126.648516,0.0,4789712464851402752,START,WALK,152,1.0,
91.4,0,37.53835,126.648546,0.0,4789712464867786752,STOP,WALK,152,1.0,
9.5,0,37.539093,126.644863,3.48,4789712465621450752,NORMAL,WALK,63,1.0,
8.2,0,37.539104,126.644904,0.0,4789712465662410752,STOP,AUTOMOBILE,63,1.0,
8.2,0,37.538019,126.644234,3.35,4789712466039242752,NORMAL,STATION,63,1.0,
74.0,0,37.536627,126.643776,0.0,4789712466395594752,STOP,STATION,1,1.0,
8.8,0,37.533772,126.645485,4.52,4789712466964938752,NORMAL,STATION,1,1.0,
8.8,0,37.533729,126.645481,4.62,4789712466969034752,NORMAL,STATION,1,1.0,
8.9,0,37.533694,126.645483,4.62,4789712466973130752,NORMAL,STATION,1,1.0,
8.9,0,37.533694,126.645483,4.62,4789712473329647895,END,,0,1.0,
56.2,0,37.538616,126.646932,0.0,4789712505848266752,START,WALK,0,1.0,
52.9,0,37.538588,126.646927,0.0,4789712505856458752,STOP,WALK,0,1.0,
19.9,0,37.538046,126.646005,1.5,4789712506044874752,NORMAL,WALK,75,1.0,
59.0,0,37.538,126.64458,0.0,4789712506454474752,STOP,WALK,173,1.0,
10.4,0,37.537511,126.644828,1.68,4789712506696138752,NORMAL,WALK,54,1.0,
51.3,0,37.537294,126.643283,0.0,4789712506945994752,STOP,WALK,112,1.0,
51.3,0,37.537294,126.643283,0.0,4789712523749147091,END,,0,1.0,
19.3,0,37.537358,126.647954,0.15,4789712800883146752,START,WALK,11,1.0,
59.8,0,37.536016,126.64967,0.0,4789712801468874752,STOP,WALK,218,1.0,
59.8,0,37.536016,126.64967,0.0,4789712802337607930,END,,0,1.0,
23.7,0,37.535945,126.650339,0.7,4789712802337226752,START,WALK,220,1.0,
23.2,0,37.53595,126.65036,0.7,4789712802345418752,STOP,WALK,220,1.0,
23.2,0,37.53595,126.65036,0.7,4789712803151250571,END,,0,1.0,
64.2,0,37.536263,126.653032,0.0,4789712828301770752,START,WALK,388,1.0,
72.5,0,37.53634,126.650757,0.0,4789712828961226752,STOP,WALK,8,1.0,
7.6,0,37.53582,126.649612,1.06,4789712829505994752,NORMAL,WALK,177,1.0,
55.8,0,37.536468,126.64823,0.47,4789712830046666752,STOP,WALK,195,1.0,
55.8,0,37.536468,126.64823,0.47,4789712832212360241,END,,0,1.0,
57.5,0,37.539373,126.646819,0.0,4789712849240522752,START,WALK,211,1.0,
9.9,0,37.539573,126.646092,1.99,4789712849375690752,NORMAL,WALK,20,1.0,
9.6,0,37.539563,126.646117,2.13,4789712849379786752,NORMAL,WALK,20,1.0,
9.6,0,37.539563,126.646117,2.13,4789712851803993526,END,,0,1.0,
61.9,0,37.53736,126.642717,0.0,4789712857166282752,START,WALK,442,1.0,
55.4,0,37.537404,126.642685,0.0,4789712857170378752,STOP,WALK,442,1.0,
9.5,0,37.537272,126.642583,3.27,4789712862720458752,NORMAL,WALK,0,1.0,
55.2,0,37.536635,126.643881,0.0,4789712862998986752,STOP,WALK,32,1.0,
13.6,0,37.537458,126.643255,2.8,4789712863863242752,NORMAL,WALK,73,1.0,
13.6,0,37.537458,126.643255,2.8,4789712867082247655,END,,0,1.0,
10.1,0,37.538365,126.64256,0.0,4789712867119562752,START,WALK,73,1.0,
9.9,0,37.538363,126.642563,0.0,4789712867123658752,STOP,WALK,73,1.0,
9.5,0,37.536749,126.642768,2.9,4789712867422666752,NORMAL,WALK,73,1.0,
9.5,0,37.536703,126.642766,3.45,4789712867426762752,NORMAL,WALK,73,1.0,
9.5,0,37.536703,126.642766,3.45,4789712868928514232,END,,0,1.0,
89.3,0,37.539038,126.637403,0.0,4789712892350922752,START,WALK,779,1.0,
26.6,0,37.539103,126.637327,3.08,4789712892359114752,NORMAL,WALK,779,1.0,
54.3,0,37.537651,126.636068,0.0,4789712893047242752,STOP,WALK,45,1.0,
9.9,0,37.537152,126.635957,2.17,4789712893084106752,NORMAL,WALK,9,1.0,
9.5,0,37.537135,126.635948,2.11,4789712893088202752,NORMAL,WALK,9,1.0,
69.7,0,37.535059,126.636425,0.0,4789712893616586752,STOP,WALK,50,1.0,
9.5,0,37.535027,126.636178,1.46,4789712893776330752,NORMAL,WALK,3,1.0,
9.5,0,37.535007,126.636173,2.45,4789712893780426752,NORMAL,WALK,3,1.0,
115.8,0,37.530804,126.635986,0.0,4789712894255562752,STOP,WALK,12,1.0,
7.5,0,37.53149,126.635775,1.34,4789712894296522752,NORMAL,WALK,12,1.0,
7.5,0,37.53148,126.635779,1.51,4789712894300618752,NORMAL,WALK,12,1.0,
33.0,0,37.530756,126.63612,0.0,4789712894652874752,STOP,WALK,33,1.0,
6.5,0,37.52845,126.636044,1.74,4789712895009226752,NORMAL,WALK,5,1.0,
6.5,0,37.52847,126.636046,1.79,4789712895013322752,NORMAL,WALK,5,1.0,
6.5,0,37.52847,126.636046,1.79,4789712898208493257,END,,0,1.0,
59.3,0,37.538351,126.646674,0.0,4789713272021450752,START,WALK,139,1.0,
65.4,0,37.538365,126.64678,0.0,4789713272025546752,STOP,WALK,139,1.0,
65.4,0,37.538365,126.64678,0.0,4789713272943497162,END,,0,1.0,
18.7,0,37.537583,126.6468,1.76,4789713272943050752,START,WALK,195,1.0,
50.6,0,37.537793,126.648031,0.0,4789713273405898752,STOP,WALK,44,1.0,
50.6,0,37.537793,126.648031,0.0,4789713330918523281,END,,0,1.0,
30.3,0,37.538175,126.647486,0.76,4789713823695306752,START,WALK,0,1.0,
29.0,0,37.538132,126.647438,0.4,4789713823715786752,STOP,WALK,5,1.0,
29.0,0,37.538132,126.647438,0.4,4789713824662783234,END,,0,1.0,
56.5,0,37.537996,126.644534,0.0,4789713830494666752,START,WALK,758,1.0,
50.3,0,37.536869,126.64458,0.0,4789713830969802752,STOP,WALK,199,1.0,
11.2,0,37.534517,126.644814,1.23,4789713831899594752,NORMAL,WALK,191,1.0,
78.0,0,37.533762,126.644899,0.55,4789713832260042752,STOP,WALK,81,1.0,
10.9,0,37.533274,126.644759,1.13,4789713832526282752,NORMAL,WALK,114,1.0,
10.6,0,37.533248,126.644755,0.93,4789713832534474752,STOP,WALK,114,1.0,
10.6,0,37.533248,126.644755,0.93,4789713876747079336,END,,0,1.0,
12.8,0,37.533486,126.644724,0.84,4789713876746698752,START,WALK,702,1.0,
55.6,0,37.534572,126.644667,0.0,4789713877471690752,STOP,WALK,184,1.0,
55.6,0,37.534572,126.644667,0.0,4789713879106714379,END,,0,1.0,
49.8,0,37.536742,126.644645,0.0,4789713879105994752,START,WALK,213,1.0,
18.6,0,37.536888,126.644682,1.26,4789713879146954752,NORMAL,WALK,14,1.0,
13.6,0,37.536921,126.644691,1.04,4789713879163338752,NORMAL,WALK,14,1.0,
9.5,0,37.537789,126.644703,1.11,4789713879556554752,NORMAL,WALK,164,1.0,
7.5,0,37.537791,126.644706,0.6,4789713879560650752,STOP,WALK,164,1.0,
7.5,0,37.537791,126.644706,0.6,4789713880789685600,END,,0,1.0,
49.3,0,37.538153,126.645848,0.0,4789713880789450752,START,WALK,13,1.0,
65.3,0,37.538173,126.646079,0.0,4789713881801162752,STOP,WALK,34,1.0,
65.3,0,37.538173,126.646079,0.0,4789713919796745630,END,,0,1.0,
152.3,0,37.538319,126.646954,0.0,4789714181771722752,START,WALK,759,1.0,
20.9,0,37.538497,126.64639,0.19,4789714181919178752,STOP,WALK,53,1.0,
