lat,lng,output,grid_label
37.537137,126.649466,N,KECABBAB
37.53707,126.649523,N,KECABBAB
37.537027,126.649533,N,KECABBAB
37.53699,126.649555,N,KECABBAB
37.536967,126.649577,N,KECABBAB
37.536953,126.6496,N,KECABBAB
37.536858,126.649775,N,KECABBAB
37.536795,126.64989,N,KECABBAB
37.536752,126.64997,N,KECABBAB
37.536803,126.649935,N,KECABBAB
37.536819,126.649929,N,KECABBAB
37.53784,126.648342,N,KECABBAA
37.53784,126.648342,N,KECABBAA
37.5336,126.653452,N,KECABBAD
37.535062,126.653194,N,KECABBAD
37.535062,126.653194,N,KECABBAD
37.53191,126.647907,N,KECABBAC
37.531877,126.646888,N,KECABBAC
37.531881,126.646855,N,KECABBAC
37.531881,126.646855,N,KECABBAC
37.533812,126.644244,N,KECABBAC
37.533506,126.644731,N,KECABBAC
37.535392,126.644676,N,KECABBAC
37.535393,126.644676,N,KECABBAC
37.535393,126.644676,N,KECABBAC
37.535059,126.644607,N,KECABBAC
37.534735,126.644619,N,KECABBAC
37.533306,126.644916,N,KECABBAC
37.533306,126.644916,N,KECABBAC
37.527572,126.618577,N,KECABACB
37.528205,126.612091,N,KECABACA
37.528306,126.612184,N,KECABACA
37.528907,126.612937,N,KECABACA
37.529102,126.613319,N,KECABAAC
37.529596,126.614185,N,KECABAAC
37.529859,126.614488,N,KECABAAC
37.530687,126.615026,N,KECABAAC
37.530925,126.615084,N,KECABAAC
37.531892,126.615004,N,KECABAAC
37.532252,126.614959,N,KECABAAC
37.533086,126.614827,N,KECABAAC
37.533426,126.614694,N,KECABAAC
37.534142,126.614187,N,KECABAAC
37.534416,126.613909,N,KECABAAC
37.535054,126.613261,N,KECABAAC
37.535338,126.612998,N,KECABAAC
37.536062,126.612465,N,KECABAAA
37.53644,126.612262,N,KECABAAA
37.537323,126.611935,N,KECABAAA
37.537812,126.611876,N,KECABAAA
37.538658,126.611851,N,KECABAAA
37.538827,126.611859,N,KECABAAA
37.539239,126.612998,N,KECABAAA
37.539334,126.614221,N,KECABAAA
37.539349,126.614522,N,KECABAAA
37.539322,126.614819,N,KECABAAA
37.538964,126.615948,N,KECABAAA
37.538918,126.616094,N,KECABAAA
37.538538,126.617153,N,KECABAAA
37.538398,126.617556,N,KECABAAA
37.537988,126.61931,N,KECABAAB
37.536015,126.628384,N,KECABABA
37.53599,126.629841,N,KECABABA
37.535998,126.630275,N,KECABABA
37.535995,126.631563,N,KECABABA
37.536003,126.632215,N,KECABABA
37.535703,126.638693,N,KECABABB
37.536014,126.640468,N,KECABABB
37.536009,126.64066,N,KECABABB
37.536013,126.642043,N,KECABBAA
37.536013,126.642624,N,KECABBAA
37.536013,126.643886,N,KECABBAA
37.536012,126.644257,N,KECABBAA
37.536845,126.644633,N,KECABBAA
37.539216,126.647389,N,KECABBAA
37.538746,126.646797,N,KECABBAA
37.538687,126.646873,N,KECABBAA
37.538687,126.646873,N,KECABBAA
37.538269,126.646503,N,KECABBAA
37.538138,126.646486,N,KECABBAA
37.538138,126.646486,N,KECABBAA
37.53864,126.648499,N,KECABBAA
37.538086,126.648599,N,KECABBAA
37.538073,126.648606,N,KECABBAA
37.538073,126.648606,N,KECABBAA
37.538397,126.646744,N,KECABBAA
37.538389,126.646734,N,KECABBAA
37.538389,126.646734,N,KECABBAA
37.537867,126.644749,N,KECABBAA
37.537874,126.64468,N,KECABBAA
37.537874,126.64468,N,KECABBAA
