grid_label,x,y
GJADDDDC,607,417
GJADDDDD,608,417
GJCBADBC,599,411
GJCBBABB,604,416
GJCBBABD,604,415
GJCBBACD,602,413
GJCBBADB,604,414
GJCBBADC,603,413
GJCBBADD,604,413
GJCBBBAB,606,416
GJCBBBAC,605,415
GJCBBBAD,606,415
GJCBBBBA,607,416
GJCBBCAB,602,412
GJDAADCD,614,409
GJDACBAB,614,408
IFDBABDD,376,541
IFDBADBA,375,540
IFDBADBB,376,540
IFDBADDA,375,538
IFDBBACC,377,541
IFDBBCBA,379,540
IFDBBCBB,380,540
IFDBBCBD,380,539
IGACABAC,389,559
IGACABAD,390,559
IGACABBC,391,559
IGACABCA,389,558
IGACABDA,391,558
IHCADBDA,463,534
IHCBCCCD,466,529
IHCDAAAB,466,528
IHCDAABA,467,528
JEABBAAB,282,640
JEABBAAD,282,639
JEABBABA,283,640
JEABBABC,283,639
JEABBACD,282,637
JEABBADA,283,638
JEABBADC,283,637
JEABBCAB,282,636
JEABBCAD,282,635
JEABBCCB,282,634
JEABBCCD,282,633
JEABDAAB,282,632
JEABDAAD,282,631
JEABDACB,282,630
JEABDACD,282,629
JEABDADC,283,629
JEABDCBA,283,628
JEABDCBC,283,627
JEABDCBD,284,627
JEABDCDA,283,626
JEADBABB,284,624
JEADBABD,284,623
JEADBADB,284,622
JEADBADD,284,621
JEADBBCC,285,621
JEADBDAA,285,620
JEADBDAB,286,620
JEADBDAD,286,619
JEADBDCB,286,618
JEADBDDA,287,618
JEADBDDC,287,617
JEADDBBA,287,616
JEADDBBB,288,616
JEBABBBD,304,639
JEBABDBB,304,636
JEBCCAAC,289,615
JEBCCACA,289,614
JEBCCACC,289,613
JEBCCACD,290,613
JEBCCCAB,290,612
JEBCCCAD,290,611
JEBCCCCB,290,610
JEBCCCDA,291,610
JEBCCCDC,291,609
JEDAAABA,291,608
JEDAAABB,292,608
JEDAABAC,293,607
JEDAABAD,294,607
JEDAABCB,294,606
JEDAABCD,294,605
JEDAABDC,295,605
JEDAADBA,295,604
JEDAADBC,295,603
JEDAADBD,296,603
JEDAADDB,296,602
JEDAADDD,296,601
JEDABCCC,297,601
JEDADAAA,297,600
JEDADAAB,298,600
JEDADAAD,298,599
JEDADABC,299,599
JEDADABD,300,599
JEDADBAC,301,599
JEDADBCA,301,598
JEDADBCB,302,598
JEDADBDA,303,598
JEDADBDB,304,598
JEDBCACA,305,598
JEDBCACB,306,598
JEDBCADA,307,598
JEDBCADB,308,598
JEDBCADD,308,597
JEDBCBCC,309,597
JEDBCBCD,310,597
JEDBCDAB,310,596
JEDBCDBA,311,596
JEDBCDBC,311,595
JEDBCDBD,312,595
JEDBCDDB,312,594
JEDBDCCA,313,594
JEDBDCCB,314,594
JEDBDCDA,315,594
JEDBDCDB,316,594
JEDBDDCA,317,594
JEDBDDCB,318,594
JEDBDDDA,319,594
JEDBDDDB,320,594
JFCACCBD,324,595
JFCACCCA,321,594
JFCACCCB,322,594
JFCACCDA,323,594
JFCACCDB,324,594
JFCACDAB,326,596
JFCACDAC,325,595
JFCACDAD,326,595
JFCACDBA,327,596
JFCACDBB,328,596
JFCADCAA,329,596
JFCADCAB,330,596
JFCADCAD,330,595
JFCADCBA,331,596
JFCADCBB,332,596
JFCADCBC,331,595
JFCADDAA,333,596
JFCADDAB,334,596
JFCADDBA,335,596
JFCADDBB,336,596
JFCADDBD,336,595
JFCBCCCA,337,594
JFCBCCCC,337,593
JFCBCCCD,338,593
JFCDAAAB,338,592
JFCDAABA,339,592
JFCDAABB,340,592
JFCDAABD,340,591
JFCDABAC,341,591
JFCDABCA,341,590
JFCDABCB,342,590
JFCDABCD,342,589
JFCDABDC,343,589
JFCDABDD,344,589
JFCDBACC,345,589
JFCDBCAA,345,588
JFCDBCAB,346,588
JFCDBCAD,346,587
JFCDBCBC,347,587
JFCDBCDA,347,586
JFCDBCDB,348,586
JFCDBDCA,349,586
JFCDBDCB,350,586
JFDCACAC,353,587
JFDCACAD,354,587
JFDCACBC,355,587
JFDCACBD,356,587
JFDCADAC,357,587
JFDCADBA,359,588
JFDCBCAC,361,587
KDDACDBB,232,660
KDDADCAA,233,660
KDDADCAB,234,660
KDDBBBDB,256,670
KDDBBBDC,255,669
KDDBBBDD,256,669
KDDBBCAC,249,667
KDDBBCBC,251,667
KDDBBCBD,252,667
KDDBBCCB,250,666
KDDBBCCC,249,665
KDDBBCCD,250,665
KDDBBDAA,253,668
KDDBBDAB,254,668
