accuracy,id,lat,lng,speed,time,type,state,stepCount,output,grid_label
41.6,0,37.502842,126.571894,9.38,4789717881418186752,START,AUTOMOBILE,12,N,KECAACBD
8.2,0,37.503545,126.571316,8.17,4789717881463242752,NORMAL,AUTOMOBILE,12,N,KECAACBC
8.2,0,37.503607,126.570308,8.25,4789717881512394752,NORMAL,AUTOMOBILE,12,N,KECAACBC
49.8,0,37.502906,126.566817,0.0,4789717881659850752,STOP,AUTOMOBILE,12,N,KECAACBC
7.5,0,37.502787,126.565686,13.87,4789717881696714752,NORMAL,AUTOMOBILE,12,N,KECAACBC
7.5,0,37.50275,126.565526,14.57,4789717881700810752,NORMAL,STATION,12,N,KECAACBC
8.2,0,37.502538,126.564618,17.66,4789717881721290752,NORMAL,AUTOMOBILE,12,N,KECAACDA
8.2,0,37.502247,126.563501,17.36,4789717881745866752,NORMAL,AUTOMOBILE,12,N,KECAACCB
8.2,0,37.50193,126.562384,17.43,4789717881770442752,NORMAL,AUTOMOBILE,12,N,KECAACCB
8.2,0,37.501727,126.561652,17.38,4789717881786826752,NORMAL,AUTOMOBILE,12,N,KECAACCB
8.2,0,37.501371,126.560639,16.46,4789717881811402752,NORMAL,AUTOMOBILE,12,N,KECAACCB
8.2,0,37.501114,126.559977,16.23,4789717881827786752,NORMAL,AUTOMOBILE,12,N,KECAACCB
8.1,0,37.50069,126.559019,16.28,4789717881852362752,NORMAL,AUTOMOBILE,12,N,KECAACCB
8.1,0,37.500385,126.55838,16.33,4789717881868746752,NORMAL,STATION,12,N,KECAACCB
8.1,0,37.500049,126.557769,16.33,4789717881885130752,NORMAL,AUTOMOBILE,12,N,KECAACCB
8.1,0,37.499499,126.556899,16.25,4789717881909706752,NORMAL,AUTOMOBILE,12,N,KECAACCB
8.1,0,37.499407,126.556756,16.28,4789717881913802752,NORMAL,AUTOMOBILE,12,N,KECAACCB
8.1,0,37.498726,126.555799,16.31,4789717881942474752,NORMAL,AUTOMOBILE,12,N,KECAACCA
8.1,0,37.498405,126.555408,16.33,4789717881954762752,NORMAL,AUTOMOBILE,12,N,KECAACCA
8.1,0,37.497669,126.554501,16.34,4789717881983434752,NORMAL,AUTOMOBILE,12,N,KECAACCA
8.1,0,37.497333,126.554149,16.33,4789717881995722752,NORMAL,AUTOMOBILE,12,N,KECAACCA
8.1,0,37.496578,126.553291,16.28,4789717882024394752,NORMAL,AUTOMOBILE,12,N,KECAACCA
8.1,0,37.496258,126.552937,15.56,4789717882036682752,NORMAL,AUTOMOBILE,12,N,KECAACCA
8.2,0,37.495572,126.552209,12.87,4789717882065354752,NORMAL,AUTOMOBILE,12,N,KECAACCC
8.2,0,37.495323,126.551911,12.95,4789717882081738752,NORMAL,AUTOMOBILE,12,N,KECAACCC
8.2,0,37.494889,126.551,6.24,4789717882130890752,NORMAL,AUTOMOBILE,12,N,KECAACCC
63.5,0,37.498085,126.546351,0.0,4789717882626506752,STOP,AUTOMOBILE,12,N,KDDBBDDB
7.5,0,37.498163,126.545614,15.29,4789717882646986752,NORMAL,AUTOMOBILE,12,N,KDDBBDDB
6.5,0,37.498748,126.544381,21.68,4789717882675658752,NORMAL,AUTOMOBILE,12,N,KDDBBDDB
8.2,0,37.499224,126.543143,19.85,4789717882700234752,NORMAL,AUTOMOBILE,12,N,KDDBBDDB
8.2,0,37.499504,126.542357,19.27,4789717882716618752,NORMAL,AUTOMOBILE,12,N,KDDBBDDB
8.2,0,37.499818,126.541379,23.33,4789717882733002752,NORMAL,AUTOMOBILE,12,N,KDDBBDDB
8.2,0,37.50019,126.540165,19.3,4789717882757578752,NORMAL,AUTOMOBILE,12,N,KDDBBDDA
8.2,0,37.500247,126.539962,19.18,4789717882761674752,NORMAL,AUTOMOBILE,12,N,KDDBBDDA
8.1,0,37.500606,126.538726,14.57,4789717882790346752,NORMAL,AUTOMOBILE,12,N,KDDBBDDA
8.1,0,37.500709,126.538413,9.89,4789717882802634752,NORMAL,AUTOMOBILE,12,N,KDDBBDDA
1431.3,0,37.539605,126.568114,0.0,4789717884293578752,STOP,AUTOMOBILE,12,N,KECAAABA
1431.3,0,37.539605,126.568114,0.0,4789718432046650159,END,,0,N,KECAAABA
