accuracy,id,lat,lng,speed,time,type,state,stepCount,beaconData,output,grid_label
41.6,0,37.637489,127.690008,0.0,1701500133000,START,WALK,91,,AN,KGADAABD
103.4,0,37.637477,127.689948,0.0,1701500516000,STOP,WALK,151,,AN,KGADAABD
7.5,0,37.641344,127.683882,3.13,1701500897000,NORMAL,WALK,9,,AN,KGADAABC
7.5,0,37.641371,127.683876,3.18,1701500898000,NORMAL,WALK,9,,AN,KGADAABC
49.5,0,37.644753,127.682149,0.0,1701501034000,STOP,WALK,16,,AN,KGADAABA
6.5,0,37.643878,127.682639,1.12,1701501043000,NORMAL,WALK,16,,AN,KGADAABA
6.5,0,37.643884,127.682638,1.12,1701501044000,NORMAL,WALK,16,,AN,KGADAABA
7.5,0,37.644468,127.682154,0.0,1701501103000,STOP,WALK,2,,AN,KGADAABA
37.5,0,37.641406,127.686508,2.31,1701501595000,NORMAL,WALK,185,,AN,KGADAABD
8.1,0,37.640743,127.687128,2.53,1701501633000,NORMAL,WALK,185,,AN,KGADAABD
8.1,0,37.64006,127.687846,2.42,1701501673000,NORMAL,WALK,32,,AN,KGADAABD
8.2,0,37.639753,127.688139,2.52,1701501702000,NORMAL,WALK,32,,AN,KGADAABD
40.5,0,37.637477,127.689956,0.0,1701501925000,STOP,WALK,0,,AN,KGADAABD
11.1,0,37.637211,127.688646,2.45,1701502101000,NORMAL,WALK,63,,AN,KGADAABD
55.0,0,37.646007,127.681815,0.0,1701502864000,STOP,WALK,330,,AN,KGADAABA
55.0,0,37.646007,127.681815,0.0,1701505011155,END,,0,,AN,KGADAABA
