accuracy,id,lat,lng,speed,time,type,state,stepCount
312.2,0,37.537137,126.649466,3.54,4789710313447882752,START,WALK,8
310.2,0,37.537070,126.649523,3.49,4789710313451978752,NORMAL,WALK,8
308.7,0,37.537027,126.649533,3.43,4789710313456074752,NORMAL,WALK,8
307.5,0,37.536990,126.649555,3.38,4789710313460170752,NORMAL,WALK,8
306.6,0,37.536967,126.649577,3.33,4789710313464266752,NORMAL,WALK,8
306.6,0,37.536953,126.649600,3.28,4789710313468362752,NORMAL,STATION,8
306.6,0,37.536858,126.649775,3.24,4789710313472458752,NORMAL,WALK,8
305.9,0,37.536795,126.649890,3.20,4789710313476554752,NORMAL,WALK,8
305.4,0,37.536752,126.649970,3.15,4789710313480650752,NORMAL,WALK,8
304.9,0,37.536803,126.649935,3.10,4789710313484746752,NORMAL,WALK,8
304.6,0,37.536819,126.649929,3.04,4789710313488842752,NORMAL,WALK,8
49.1,0,37.537840,126.648342,0.00,4789710313492938752,STOP,WALK,8
49.1,0,37.537840,126.648342,0.00,4789710322575253213,END,,0
