accuracy,id,lat,lng,speed,time,type,state,stepCount
1416.8,0,36.974245,127.297430,0.00,4789715256336842752,START,WALK,359
26.7,0,36.975641,127.303325,16.36,4789715256594890752,NORMAL,STATION,359
9.8,0,36.975644,127.304531,16.00,4789715256623562752,NORMAL,AUTOMOBILE,359
8.2,0,36.975575,127.305670,16.41,4789715256648138752,NORMAL,AUTOMOBILE,359
8.2,0,36.975582,127.306431,16.73,4789715256664522752,NORMAL,AUTOMOBILE,359
8.1,0,36.975598,127.307632,17.88,4789715256689098752,NORMAL,AUTOMOBILE,359
8.1,0,36.975605,127.308281,13.73,4789715256705482752,NORMAL,AUTOMOBILE,359
8.1,0,36.975617,127.309569,7.72,4789715256758730752,NORMAL,AUTOMOBILE,359
8.1,0,36.975628,127.310888,15.29,4789715256795594752,NORMAL,AUTOMOBILE,359
8.1,0,36.975630,127.311068,15.85,4789715256799690752,NORMAL,AUTOMOBILE,359
8.1,0,36.975655,127.312248,14.68,4789715256828362752,NORMAL,AUTOMOBILE,359
8.1,0,36.975680,127.312731,14.34,4789715256840650752,NORMAL,AUTOMOBILE,359
8.1,0,36.975761,127.313982,16.40,4789715256869322752,NORMAL,AUTOMOBILE,359
8.1,0,36.975809,127.314547,16.97,4789715256881610752,NORMAL,AUTOMOBILE,359
8.1,0,36.975945,127.315865,16.24,4789715256910282752,NORMAL,AUTOMOBILE,359
8.1,0,36.976007,127.316399,15.99,4789715256922570752,NORMAL,AUTOMOBILE,359
8.1,0,36.976211,127.317766,18.18,4789715256951242752,NORMAL,AUTOMOBILE,359
8.1,0,36.976315,127.318379,18.69,4789715256967626752,NORMAL,AUTOMOBILE,359
8.1,0,36.976527,127.319473,20.76,4789715256984010752,NORMAL,AUTOMOBILE,359
8.1,0,36.976819,127.320755,19.52,4789715257008586752,NORMAL,AUTOMOBILE,359
8.1,0,36.976870,127.320963,19.59,4789715257012682752,NORMAL,AUTOMOBILE,359
8.0,0,36.977151,127.322090,21.53,4789715257033162752,NORMAL,STATION,359
8.1,0,36.977413,127.323033,22.15,4789715257049546752,NORMAL,AUTOMOBILE,359
8.1,0,36.977479,127.323272,22.22,4789715257053642752,NORMAL,AUTOMOBILE,359
2002.9,0,36.976669,127.359655,0.00,4789715257762250752,STOP,AUTOMOBILE,359
2002.9,0,36.976669,127.359655,0.00,4789715709404769842,END,,0
